노선번호,인가대수,저상대수,보유율
7013A,9,4,44.4
7013B,8,7,87.5
702A,26,25,96.2
702B,14,10,71.4
750A,17,17,100.0
750B,17,16,94.1
8773녹번,1,1,100.0
8773홍대,1,1,100.0
N13상계,7,7,100.0
N13송파,6,5,83.3
N15사당,8,8,100.0
N15우이,9,9,100.0
N16도봉,7,7,100.0
N16온수,7,7,100.0
N26강서,6,6,100.0
N26중랑,5,5,100.0
N31강동,4,4,100.0
N31정릉,4,4,100.0
N37송파,4,3,75.0
N37진관,5,5,100.0
N51하계,4,4,100.0
N61상계,8,8,100.0
N61양천,6,6,100.0
N61양천,6,6,100.0
N62면목,10,10,100.0
N62양천,6,5,83.3
N64염곡,4,4,100.0
N72은평,5,3,60.0
N72중랑,4,4,100.0
N73구산,4,4,100.0
N75신림,6,6,100.0
N75진관,6,6,100.0
,,,
